"DeploymentSqlID","DeploymentJobID","SqlStatement","ExecuteDate","ActiveFlag"
"50","1","delete tblMarket_LIVE from tblDeploymentQueue_U q, tblMarket_LIVE l where q.KeyNameValue = l.MarketID and q.DeploymentJobID = 1 and q.TableName = 'tblMarket' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"51","1","insert into tblMarket_LIVE select fn_a.BusinessUnitID, fn_a.MarketName, fn_a.MarketOrder, fn_a.PublishDate, fn_a.ExpirationDate, fn_a.WorkflowStatus, fn_a.LastModifiedDate, fn_a.LastModifiedBy, fn_a.ActiveFlag, fn_a.MarkedForDeletion, fn_a.DeploymentJobID, fn_a.MarketID from tblMarket fn_a, tblDeploymentQueue_U q where q.KeyNameValue = fn_a.MarketID and q.DeploymentJobID = 1 and q.TableName = 'tblMarket' and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"52","1","update tblMarket_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblMarket_LIVE l where q.KeyNameValue = l.MarketID and q.TableName = 'tblMarket' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"53","1","delete tblMarket from tblDeploymentQueue_U q, tblMarket cms where q.KeyNameValue = cms.MarketID and q.DeploymentJobID = 1 and q.TableName = 'tblMarket' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"54","1","update tblMarket set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 0, LastModifiedDate = getdate() from tblDeploymentQueue_U q, tblMarket cms where q.KeyNameValue = cms.MarketID and q.TableName = 'tblMarket' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"55","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblSideNav', 'ID', ID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblSideNav where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:29","0"
"56","1","delete tblSideNav_LIVE from tblDeploymentQueue_U q, tblSideNav_LIVE l where q.KeyNameValue = l.ID and q.DeploymentJobID = 1 and q.TableName = 'tblSideNav' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"57","1","insert into tblSideNav_LIVE select fn_a.ProdCatID, fn_a.Title, fn_a.Description, fn_a.URL, fn_a.BusinessUnitID, fn_a.MarketID, fn_a.PageID, fn_a.ItemOrder, fn_a.Parent, fn_a.SectionID, fn_a.PublishDate, fn_a.ExpirationDate, fn_a.WorkflowStatus, fn_a.LastModifiedDate, fn_a.LastModifiedBy, fn_a.ActiveFlag, fn_a.MarkedForDeletion, fn_a.DeploymentJobID, fn_a.ID from tblSideNav fn_a, tblDeploymentQueue_U q where q.KeyNameValue = fn_a.ID and q.DeploymentJobID = 1 and q.TableName = 'tblSideNav' and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"58","1","update tblSideNav_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblSideNav_LIVE l where q.KeyNameValue = l.ID and q.TableName = 'tblSideNav' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"59","1","delete tblSideNav from tblDeploymentQueue_U q, tblSideNav cms where q.KeyNameValue = cms.ID and q.DeploymentJobID = 1 and q.TableName = 'tblSideNav' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
